Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Ag_ecut10_k111_Ag.pbe-n-kjpaw_psl.1.0.0.in,Ag,10,1 1 1,Ag.pbe-n-kjpaw_psl.1.0.0,-341.99778968
Ag_ecut10_k111_Ag.pbe-n-rrkjus_psl.1.0.0.in,Ag,10,1 1 1,Ag.pbe-n-rrkjus_psl.1.0.0,-70.84879991
Ag_ecut10_k111_Ag.pbesol-n-kjpaw_psl.1.0.0.in,Ag,10,1 1 1,Ag.pbesol-n-kjpaw_psl.1.0.0,-336.91471029
Ag_ecut10_k111_Ag.pbesol-n-rrkjus_psl.1.0.0.in,Ag,10,1 1 1,Ag.pbesol-n-rrkjus_psl.1.0.0,-70.74038355
Ag_ecut10_k222_Ag.pbe-n-kjpaw_psl.1.0.0.in,Ag,10,2 2 2,Ag.pbe-n-kjpaw_psl.1.0.0,-341.38298439
Ag_ecut10_k222_Ag.pbe-n-rrkjus_psl.1.0.0.in,Ag,10,2 2 2,Ag.pbe-n-rrkjus_psl.1.0.0,-70.2364522
Ag_ecut10_k222_Ag.pbesol-n-kjpaw_psl.1.0.0.in,Ag,10,2 2 2,Ag.pbesol-n-kjpaw_psl.1.0.0,-336.33063116
Ag_ecut10_k222_Ag.pbesol-n-rrkjus_psl.1.0.0.in,Ag,10,2 2 2,Ag.pbesol-n-rrkjus_psl.1.0.0,-70.16134651
Ag_ecut10_k333_Ag.pbe-n-kjpaw_psl.1.0.0.in,Ag,10,3 3 3,Ag.pbe-n-kjpaw_psl.1.0.0,-340.4319307
Ag_ecut10_k333_Ag.pbe-n-rrkjus_psl.1.0.0.in,Ag,10,3 3 3,Ag.pbe-n-rrkjus_psl.1.0.0,-69.22929783
Ag_ecut10_k333_Ag.pbesol-n-kjpaw_psl.1.0.0.in,Ag,10,3 3 3,Ag.pbesol-n-kjpaw_psl.1.0.0,-335.35516228
Ag_ecut10_k333_Ag.pbesol-n-rrkjus_psl.1.0.0.in,Ag,10,3 3 3,Ag.pbesol-n-rrkjus_psl.1.0.0,-69.13035273
Ag_ecut10_k444_Ag.pbe-n-kjpaw_psl.1.0.0.in,Ag,10,4 4 4,Ag.pbe-n-kjpaw_psl.1.0.0,-340.3341527
Ag_ecut10_k444_Ag.pbe-n-rrkjus_psl.1.0.0.in,Ag,10,4 4 4,Ag.pbe-n-rrkjus_psl.1.0.0,-69.13258483
Ag_ecut10_k444_Ag.pbesol-n-kjpaw_psl.1.0.0.in,Ag,10,4 4 4,Ag.pbesol-n-kjpaw_psl.1.0.0,-335.26001004
